Month,Regular (<95 RON) (ML),Premium (95-97 RON) (ML),Premium (98+ RON) (ML),Ethanol-blended fuel (ML),Automotive gasoline total (ML),Diesel oil total (ML),Premium diesel oil (ML),Aviation turbine fuel Domestic (ML),Aviation turbine fuel International (ML),Aviation turbine fuel total (ML),LPG Automotive use (ML),LPG Non-automotive use (ML),LPG total (ML),Aviation gasoline (ML),Fuel oil (ML),Lubricating oils & greases (ML),Other products (ML),Total (ML)
Jul 2010,1016.7,174,156,275.2,1622,1736,n.a,237.2,355.7,592.8,193.3,184.6,377.9,6.8,55.8,38.6,80,"4,509.9"
Aug 2010,983.1,182.9,162.8,300.2,1629,1745.4,n.a,233.7,352.6,586.3,196,183,379,7.2,55.1,35.4,72.9,"4,510.2"
Sep 2010,891.4,173.7,158.4,285.5,1508.9,1719.2,n.a,237.2,350.1,587.3,180.5,168.4,348.9,7,60.6,36.4,81.4,"4,349.7"
Oct 2010,1009,187.5,162.8,286.8,1646.1,1811,n.a,237.8,348.4,586.1,169.8,154.8,324.5,7,61.9,33.8,89.5,"4,560.0"
Nov 2010,986.8,190,178.8,292.6,1648.2,1889.1,n.a,241.7,349.7,591.5,168.7,139.3,307.9,6.5,49.9,39.2,104.1,"4,636.4"
Dec 2010,1004,214,190.2,335.1,1743.3,1727.1,n.a,239.3,359.9,599.1,173.7,137.5,311.2,5.6,64.7,33.7,70.9,"4,555.7"
Jan 2011,845.5,179.9,157.3,267.5,1450.2,1597,n.a,231.7,370.8,602.5,143.9,145.4,289.3,5.5,63.5,29.6,76,"4,113.6"
Feb 2011,934.9,189,157.5,267.7,1549.1,1694.1,n.a,217.2,328.1,545.3,155.7,122.3,278,5.9,77.5,33.9,103.7,"4,287.5"
Mar 2011,963.8,192.3,167.9,287.2,1611.2,1856,n.a,250.9,357.3,608.2,158.2,152.9,311.1,6.9,66.8,40.6,95.1,"4,595.9"
Apr 2011,903.7,183,161.5,252.6,1500.8,1743.9,n.a,292.1,298.6,590.7,160.7,157.4,318.1,6.1,65,34.5,75.1,"4,334.1"
May 2011,925.6,186.3,165,261.3,1538.2,1980.7,n.a,297.9,297.1,595,163,183.7,346.8,7.2,n.p,43.5,n.p,"4,675.4"
Jun 2011,886.9,179.9,163.3,249.1,1479.2,1934.8,n.a,281.3,301.4,582.8,153.8,196.1,349.9,6.9,78.4,29.8,85.3,"4,547.1"
Jul 2011,955.3,194.2,171.7,261.2,1582.4,1916.7,n.a,306.8,313.6,620.4,161.9,183.1,345.1,6.9,76.4,28.7,80,"4,656.6"
Aug 2011,981.1,203.6,187.5,266.9,1639,1968.2,n.a,308.3,314.3,622.6,168.8,155,323.9,7,73.4,30.2,65.2,"4,729.6"
Sep 2011,883.4,193.3,176.6,242,1495.3,1996.8,n.a,294.6,307.2,601.8,155.9,143.9,299.8,7.1,73,29.1,73.8,"4,576.7"
Oct 2011,919,195.9,178.9,234.9,1528.8,1970,n.a,299.9,312.5,612.4,151.5,124.1,275.6,7.1,72.7,27.7,84.8,"4,579.1"
Nov 2011,984,212.4,192.2,248,1636.6,2088.8,n.a,301.2,308.1,609.4,157.8,137,294.8,7.7,89.8,31.4,109.4,"4,868.0"
Dec 2011,1001,221.5,203.1,238.6,1664.3,1933.2,n.a,288.3,341.8,630.1,153.5,119.5,273,6.6,82.9,28.2,79.2,"4,697.4"
Jan 2012,884.9,198.9,189.3,207.1,1480.2,1783.5,n.a,295.6,333.6,629.2,144.4,115.2,259.6,6.1,81.2,25.9,75.6,"4,341.3"
