DATE,Brent ,Up/Down,Exchange Rate ,Up/Down,CHANGE,VIVA TGP,BP,CALTEX,MOBIL,RSG,Change,,,,,
1/01/2018,60.42,0,78,0,0,122.23,123.01,128.63,106.56,109.2,0.27,,,,,
2/01/2018,60.42,0,78.42,0.42,0.42,122.23,123.01,129.17,106.56,109.2,,,,,,
3/01/2018,60.37,0.05,78.42,0,0.05,122.72,123.85,129.5,107.33,109.64,0.44,,,,,
4/01/2018,61.63,1.26,78.61,0.19,1.07,123.49,124.1,129.5,107.56,110.34,0.7,,,,,
5/01/2018,62.01,0.38,78.41,0.2,0.58,123.61,123.97,129.75,107.56,110.45,0.11,,,,,
6/01/2018,61.44,0.57,78.61,0.2,0.77,123.42,124.28,129.62,107.78,110.28,0.17,,,,,
7/01/2018,61.44,0,78.62,0.01,0.01,123.42,124.28,129.62,107.78,110.28,,,,,,
8/01/2018,61.44,0,78.27,0.35,0.35,123.42,124.28,129.62,107.78,110.28,,,,,,
9/01/2018,61.73,0.29,78.22,0.05,0.34,123.65,124.34,129.93,107.92,110.49,0.21,,,,,
10/01/2018,62.96,1.23,78.33,0.11,1.12,123.67,124.34,129.99,107.84,110.51,0.02,,,,,
11/01/2018,63.57,0.61,78.66,0.33,0.28,123.6,124.42,129.99,107.89,110.44,0.07,,,,,
12/01/2018,63.8,0.23,79.1,0.44,0.21,123.67,124.7,130.06,108.02,110.51,0.07,,,,,
13/01/2018,64.3,0.5,79.1,0,0.5,123.98,124.68,130.35,108.13,110.79,0.28,,,,,
14/01/2018,64.3,0,79.1,0,0,123.98,124.68,130.35,108.13,110.79,,,,,,
15/01/2018,64.3,0,79.67,0.57,0.57,123.98,124.68,130.35,108.13,110.79,,,,,,
16/01/2018,64.3,0,79.63,0.04,0.04,124,124.74,130.33,108.26,110.81,0.02,,,,,
17/01/2018,63.73,0.57,79.69,0.06,0.63,124.06,124.85,130.39,108.27,110.86,0.05,,,,,
18/01/2018,63.97,0.24,79.75,0.06,0.18,124.28,125.01,130.5,108.31,111.06,0.2,,,,,
19/01/2018,63.95,0.02,80.37,0.62,0.64,124.41,124.9,130.66,108.39,111.18,0.12,,,,,
20/01/2018,63.37,0.58,79.88,0.49,0.09,124.29,124.83,130.55,108.42,111.07,0.11,,,,, 
21/01/2018,63.37,0,79.88,0,0,124.29,124.83,130.55,108.42,111.07,,,,,,
22/01/2018,63.37,0,79.88,0,0,124.29,124.83,130.55,108.42,111.07,,,,,,
23/01/2018,63.49,0.12,79.88,0,0.12,124.17,124.5,130.47,108.16,110.96,0.11,,,,,
24/01/2018,64.47,0.98,80.17,0.29,0.69,123.89,124.29,130.14,107.97,110.71,0.25,,,,,
25/01/2018,65.91,1.44,80.74,0.57,0.87,123.62,124.15,129.94,107.87,110.46,0.25,,,,,
26/01/2018,65.51,0.4,81.21,0.47,0.87,123.42,124.13,129.8,107.83,110.28,0.18,,,,,
27/01/2018,66.14,0.63,81.21,0,0.63,123.42,124.13,129.8,107.83,110.28,,,,,,
28/01/2018,66.14,0,79.99,1.22,1.22,123.42,124.13,129.8,107.83,110.28,,,,,,
29/01/2018,66.14,0,80.97,0.98,0.98,123.42,124.13,129.8,107.83,110.28,,,,,,
30/01/2018,65.56,0.58,80.85,0.12,0.46,123.64,124.73,129.92,107.83,110.48,0.2,,,,,
31/01/2018,64.5,1.06,80.88,0.03,1.09,123.98,124.97,130.38,108.13,110.79,0.31,,,,,
1/02/2018,64.73,0.23,80.21,0.67,0.9,124.28,124.89,130.61,108.18,111.06,0.27,,,,,
2/02/2018,65.8,1.07,79.36,0.85,2.02,124.23,124.87,130.53,108.13,111.02,0.04,,,,,
3/02/2018,65.45,0.35,79.27,0.09,0.26,123.96,124.72,130.28,108.16,110.77,0.25,,,,,
4/02/2018,65.45,0,79.27,0,0,123.96,124.72,130.28,108.16,110.77,,,,,,
5/02/2018,65.45,0,79.36,0.09,0.09,124.62,124.79,130.28,108.81,111.37,0.6,,,,,
6/02/2018,64.15,1.3,78.82,0.54,0.76,124.36,125.49,130.79,108.81,111.13,0.24,,,,,
7/02/2018,63.39,0.76,78.76,0.06,0.7,124.39,125.25,130.91,108.65,111.16,0.03,,,,,
8/02/2018,61.79,1.6,77.9,0.86,0.74,124.2,125.23,130.66,108.38,110.99,0.17,,,,,
9/02/2018,61.15,0.64,77.89,0.01,0.63,124.15,125.23,130.65,108.13,110.94,0.05,,,,,
10/02/2018,59.2,1.95,78.05,0.16,2.11,124.12,124.74,130.65,107.89,110.92,0.02,,,,,
11/02/2018,59.2,0,78.07,0.02,0.02,124.12,124.74,130.65,107.89,110.92,,,,,,
12/02/2018,59.2,0,78.22,0.15,0.15,124.12,124.74,130.65,107.89,110.92,,,,,,
13/02/2018,59.29,0.09,78.71,0.49,0.4,123.66,123.92,130.16,107.67,110.5,0.42,,,,,
14/02/2018,59.19,10,79.21,0.5,0.6,122.93,123.09,129.34,107.13,109.83,0.67,,,,,
15/02/2018,60.6,1.41,79.55,0.34,1.07,122.09,122.06,128.51,106.29,109.07,0.76,,,,,
16/02/2018,61.34,0.74,79.08,0.47,1.21,121.14,120.92,127.47,105.47,108.21,..86,,,,,
17/02/2018,61.68,0.34,79.12,0.04,0.3,120.09,120.41,126.35,104.92,107.25,0.96,,,,,
18/02/2018,61.68,0,79.07,0.05,0.05,120.09,120.41,126.35,104.92,107.25,,,,,,
19/02/2018,61.68,0,79.19,0.12,0.12,120.09,120.41,126.35,104.92,107.25,,,,,,
20/02/2018,61.68,0,79.17,0.02,0.02,119.6,119.75,125.83,104.88,106.81,0.49,,,,,
21/02/2018,61.9,0.22,78.11,1.06,1.28,119.13,119.87,125.17,104.39,106.38,0.43,,,,,
22/02/2018,61.68,0.22,78.43,0.32,0.54,119.17,120.28,125.29,104.14,106.42,0.04,,,,,
23/02/2018,62.77,1.09,78.44,0.01,1.08,119.48,120.92,125.7,104.01,106.7,0.28,,,,,
24/02/2018,63.55,0.78,78.41,0.03,0.81,119.92,121.32,126.34,104.21,107.1,0.4,,,,,
25/02/2018,63.55,0,78.34,0.07,0.07,119.92,121.32,126.34,104.21,107.1,,,,,,
26/02/2018,63.55,0,78.77,0.43,0.43,119.92,121.32,126.34,104.21,107.1,,,,,,
27/02/2018,63.91,0.36,78.42,35,0.71,120.29,121.8,126.73,104.61,107.43,0.33,,,,,
28/02/2018,63.01,0.9,78.42,0.42,0.48,120.82,122.38,127.22,105.37,107.92,0.49,,,,,
1/03/2018,61.64,,77.4,0.6,0.77,121.41,123.02,127.79,105.92,108.45,0.53,,,,,
2/03/2018,60.99,,77.52,0.12,0.77,122.01,123.52,128.43,106.26,109,0.55,,,,,
3/03/2018,61.25,,77.67,0.15,0.11,122.55,123.63,128.94,106.39,109.49,0.49,,,,,
4/03/2018,61.25,,77.67,0,0,122.55,123.63,128.94,106.39,109.49,,,,,,
5/03/2018,61.25,,77.47,0.2,0.2,122.55,123.63,128.94,106.39,109.49,,,,,,
6/03/2018,62.57,,77.66,0.19,1.13,122.6,123.3,129.04,106.42,109.53,0.04,,,,,
7/03/2018,62.6,,78.06,0.4,0.37,122.29,122.93,128.72,106.42,109.25,0.28,,,,,
8/03/2018,61.15,,77.9,0.16,1.29,121.87,122.43,128.35,106.3,108.87,0.38,,,,,
9/03/2018,60.12,,78.03,0.13,1.16,121.4,122.05,,106.01,108.44,0.43,,,,,
10/03/2018,62.04,,78.51,0.48,1.44,121.02,121.91,127.47,105.7,108.1,0.34,,,,,
11/03/2018,62.04,,78.52,0.01,0.01,121.02,121.91,127.47,105.7,108.1,,,,,,
12/03/2018,62.04,,78.7,0.18,0.18,121.02,121.91,127.47,105.7,108.1,,,,,,
13/03/2018,61.36,,78.55,0.15,0.55,121.02,121.99,127.33,105.44,108.1,,,,,,
14/03/2018,60.71,,78.81,0.26,0.91,121.07,122.03,127.42,105.46,108.14,0.04,,,,,
15/03/2018,60.96,,78,0.81,1.06,121.15,122.01,127.45,105.53,108.22,0.08,,,,,
16/03/2018,62.34,,77.14,0.86,2.24,121.11,122,127.43,105.22,108.18,0.04,,,,,
17/03/2018,62.34,,77.14,0,0,121.13,122.08,127.42,105.56,108.2,0.02,,,,,
18/03/2018,62.34,,77.12,0.02,0.02,121.13,122.08,127.42,105.56,108.2,,,,,,
19/03/2018,62.34,,77.18,0.06,0.06,121.13,122.08,127.42,105.56,108.2,,,,,,
20/03/2018,62.08,,76.79,0.39,0.13,121.19,122.33,127.49,105.71,108.25,0.05,,,,,
21/03/2018,63.4,,77.63,0.84,0.48,121.45,122.83,127.75,106.04,108.49,0.24,,,,,
22/03/2018,65.17,,77.55,0.08,1.85,121.88,123.61,128.24,106.49,108.88,0.39,,,,,
23/03/2018,64.3,,77.23,0.34,0.53,122.64,124.52,129.03,107.03,109.57,0.69,,,,,
24/03/2018,65.88,,76.97,0.26,1.84,123.56,125.54,129.95,107.74,110.41,0.84,,,,,
25/03/2018,65.88,,77.02,0.05,0.05,123.56,125.54,129.95,107.74,110.41,,,,,,
26/03/2018,65.88,,77.34,0.32,0.32,123.56,125.54,129.95,107.74,110.41,,,,,,
27/03/2018,65.55,,76.76,0.58,0.25,124.53,126.42,130.96,108.46,111.29,0.88,,,,,
28/03/2018,65.25,,76.6,0.16,0.14,125.43,127.07,131.84,109.25,112.11,0.82,,,,,
29/03/2018,64.38,,76.78,0.18,1.05,126.17,127.68,132.49,109.97,112.78,0.67,,,,,
30/03/2018,64.94,,76.68,0.1,0.66,126.78,128.14,133.1,110.53,113.33,0.55,,,,,
31/03/2018,64.94,,76.68,0,0,126.78,128.14,133.1,110.53,113.33,,,,,,
1/04/2018,64.94,0,76.68,0,0,126.78,128.14,133.1,110.53,113.33,,,,,,
2/04/2018,64.94,0,76.68,0,0,126.78,128.14,133.1,110.53,113.33,,,,,,
3/04/2018,63.01,1.93,76.82,0.14,2.07,126.78,128.14,133.1,110.53,113.33,,,,,,
4/04/2018,63.51,0.5,76.73,0.09,0.59,128.03,129.18,134.18,111.48,114.47,1.14,,,,,
5/04/2018,63.37,0.14,76.81,0.08,0.22,128.43,129.17,134.6,111.7,114.83,0.36,,,,,
6/04/2018,63.54,0.17,76.77,0.04,0.21,128.47,128.88,134.6,111.74,114.87,0.04,,,,,
7/04/2018,62.06,1.48,76.76,0.01,1.47,128.25,128.5,134.31,111.62,114.67,0.2,,,,,
8/04/2018,62.06,0,76.78,0.02,0.02,128.25,128.5,134.31,111.62,114.67,,,,,,
9/04/2018,62.06,0,76.66,0.12,0.12,128.25,128.5,134.31,111.62,114.67,,,,,,
