"Average price of unleaded petrol (91 octane) and diesel, cents per litre"
,"Daily average price of diesel (Cents per litre)","Quarterly average price of diesel (Cents per litre)","Daily average price of ULP (Cents per litre)","Quarterly average price of ULP (Cents per litre)"
"Mar-20","151.75","147.77","143.47","139.40"
"Mar-20","151.78","147.77","142.05","139.40"
"Mar-20","151.90","147.77","143.51","139.40"
"Mar-20","151.78","147.77","144.10","139.40"
"Mar-20","151.97","147.77","143.14","139.40"
"Mar-20","151.95","147.77","142.35","139.40"
"Mar-20","152.05","147.77","147.04","139.40"
"Mar-20","152.02","147.77","148.26","139.40"
"Mar-20","151.95","147.77","148.76","139.40"
"Mar-20","151.81","147.77","150.68","139.40"
"Mar-20","151.66","147.77","151.82","139.40"
"Mar-20","151.64","147.77","152.58","139.40"
"Mar-20","151.76","147.77","153.56","139.40"
"Mar-20","151.72","147.77","160.44","139.40"
"Mar-20","151.74","147.77","160.93","139.40"
"Mar-20","151.64","147.77","159.34","139.40"
"Mar-20","151.55","147.77","156.06","139.40"
"Mar-20","151.36","147.77","152.74","139.40"
"Mar-20","151.34","147.77","152.96","139.40"
"Mar-20","151.48","147.77","153.27","139.40"
"Mar-20","151.33","147.77","156.21","139.40"
"Mar-20","151.34","147.77","154.07","139.40"
"Mar-20","151.07","147.77","150.76","139.40"
"Mar-20","150.97","147.77","147.86","139.40"
"Mar-20","150.80","147.77","145.34","139.40"
"Mar-20","150.65","147.77","143.34","139.40"
"Mar-20","150.76","147.77","140.93","139.40"
"Mar-20","150.78","147.77","143.97","139.40"
"Mar-20","150.81","147.77","142.05","139.40"
"Mar-20","150.84","147.77","139.27","139.40"
"Mar-20","150.28","147.77","136.99","139.40"
"Mar-20","150.45","147.77","134.75","139.40"
"Mar-20","150.46","147.77","133.32","139.40"
"Mar-20","150.39","147.77","133.58","139.40"
"Mar-20","150.31","147.77","137.42","139.40"
"Mar-20","150.37","147.77","140.03","139.40"
"Mar-20","150.19","147.77","141.00","139.40"
"Mar-20","150.05","147.77","140.75","139.40"
"Mar-20","149.92","147.77","139.68","139.40"
"Mar-20","149.87","147.77","139.14","139.40"
"Mar-20","149.72","147.77","140.80","139.40"
"Mar-20","149.72","147.77","148.04","139.40"
"Mar-20","149.74","147.77","155.00","139.40"
"Mar-20","149.56","147.77","155.72","139.40"
"Mar-20","149.48","147.77","154.90","139.40"
"Mar-20","149.52","147.77","151.05","139.40"
"Mar-20","149.57","147.77","149.19","139.40"
"Mar-20","149.51","147.77","148.68","139.40"
"Mar-20","149.43","147.77","149.08","139.40"
"Mar-20","149.27","147.77","148.64","139.40"
"Mar-20","149.05","147.77","148.03","139.40"
"Mar-20","148.96","147.77","146.74","139.40"
"Mar-20","148.92","147.77","143.23","139.40"
"Mar-20","148.75","147.77","141.40","139.40"
"Mar-20","148.89","147.77","139.24","139.40"
"Mar-20","148.68","147.77","138.32","139.40"
"Mar-20","148.70","147.77","138.32","139.40"
"Mar-20","148.37","147.77","135.79","139.40"
"Mar-20","148.20","147.77","133.38","139.40"
"Mar-20","148.05","147.77","132.29","139.40"
"Mar-20","148.04","147.77","130.19","139.40"
"Mar-20","147.88","147.77","129.13","139.40"
"Mar-20","147.65","147.77","129.85","139.40"
"Mar-20","147.44","147.77","130.99","139.40"
"Mar-20","147.12","147.77","130.00","139.40"
"Mar-20","146.77","147.77","128.24","139.40"
"Mar-20","146.52","147.77","126.84","139.40"
"Mar-20","146.52","147.77","125.77","139.40"
"Mar-20","146.45","147.77","124.51","139.40"
"Mar-20","146.12","147.77","125.58","139.40"
"Mar-20","145.68","147.77","127.66","139.40"
"Mar-20","145.32","147.77","128.62","139.40"
"Mar-20","144.64","147.77","126.80","139.40"
"Mar-20","144.26","147.77","126.52","139.40"
"Mar-20","143.96","147.77","125.80","139.40"
"Mar-20","143.36","147.77","124.13","139.40"
"Mar-20","142.20","147.77","126.83","139.40"
"Mar-20","141.49","147.77","130.21","139.40"
"Mar-20","140.97","147.77","129.75","139.40"
"Mar-20","140.27","147.77","130.71","139.40"
"Mar-20","139.96","147.77","129.01","139.40"
"Mar-20","140.06","147.77","128.60","139.40"
"Mar-20","139.40","147.77","128.67","139.40"
"Mar-20","138.61","147.77","129.49","139.40"
"Mar-20","138.22","147.77","128.72","139.40"
"Mar-20","137.61","147.77","126.57","139.40"
"Mar-20","136.94","147.77","124.31","139.40"
"Mar-20","136.89","147.77","120.56","139.40"
"Mar-20","136.95","147.77","119.09","139.40"
"Mar-20","136.01","147.77","120.37","139.40"
"Mar-20","135.35","147.77","126.52","139.40"
"Jun-20","134.95","123.37","120.09","110.49"
"Jun-20","134.52","123.37","119.78","110.49"
"Jun-20","133.97","123.37","119.32","110.49"
"Jun-20","133.86","123.37","116.25","110.49"
"Jun-20","133.82","123.37","114.25","110.49"
"Jun-20","133.02","123.37","112.68","110.49"
"Jun-20","132.56","123.37","112.09","110.49"
