"All groups CPI, Australia, annual movement (%)"
,"CPI (%)","Trimmed mean (%)","Weighted median (%)"
"Jun-03","2.6","2.8","2.8"
"Sep-03","2.6","2.8","2.6"
"Dec-03","2.4","2.7","2.7"
"Mar-04","2.0","2.6","2.6"
"Jun-04","2.5","2.6","2.8"
"Sep-04","2.3","2.6","2.8"
"Dec-04","2.5","2.7","2.6"
"Mar-05","2.4","2.7","2.7"
"Jun-05","2.5","2.7","2.8"
"Sep-05","3.1","2.7","2.7"
"Dec-05","2.8","2.6","2.8"
"Mar-06","2.9","2.8","2.9"
"Jun-06","4.0","3.0","3.1"
"Sep-06","4.0","3.1","3.4"
"Dec-06","3.3","3.0","3.1"
"Mar-07","2.5","2.7","2.8"
"Jun-07","2.1","2.8","2.8"
"Sep-07","1.8","2.9","3.0"
"Dec-07","2.9","3.6","3.8"
"Mar-08","4.3","4.2","4.5"
"Jun-08","4.4","4.4","4.8"
"Sep-08","5.0","4.8","5.1"
"Dec-08","3.7","4.3","4.6"
"Mar-09","2.4","4.1","4.6"
"Jun-09","1.4","3.6","4.2"
"Sep-09","1.2","3.1","3.8"
"Dec-09","2.1","3.2","3.8"
"Mar-10","2.9","3.1","3.5"
"Jun-10","3.1","2.8","3.2"
"Sep-10","2.9","2.6","2.8"
"Dec-10","2.8","2.2","2.6"
"Mar-11","3.3","2.2","2.5"
"Jun-11","3.5","2.7","2.9"
"Sep-11","3.4","2.5","2.7"
"Dec-11","3.0","2.7","2.5"
"Mar-12","1.6","2.3","2.2"
"Jun-12","1.2","2.0","1.9"
"Sep-12","2.0","2.3","2.5"
"Dec-12","2.2","2.2","2.6"
"Mar-13","2.5","2.3","2.8"
"Jun-13","2.4","2.4","2.8"
"Sep-13","2.2","2.4","2.5"
"Dec-13","2.7","2.7","2.6"
"Mar-14","2.9","2.7","2.4"
"Jun-14","3.0","2.8","2.5"
"Sep-14","2.3","2.4","2.4"
"Dec-14","1.7","2.2","2.4"
"Mar-15","1.3","2.3","2.4"
"Jun-15","1.5","2.2","2.3"
"Sep-15","1.5","2.1","2.2"
"Dec-15","1.7","2.1","2.0"
"Mar-16","1.3","1.7","1.5"
"Jun-16","1.0","1.6","1.3"
"Sep-16","1.3","1.6","1.1"
"Dec-16","1.5","1.5","1.2"
"Mar-17","2.1","1.7","1.6"
"Jun-17","1.9","1.7","1.8"
"Sep-17","1.8","1.7","2.0"
"Dec-17","1.9","1.7","2.0"
"Mar-18","1.9","1.7","2.0"
"Jun-18","2.1","1.6","1.9"
"Sep-18","1.9","1.7","1.8"
"Dec-18","1.8","1.8","1.7"
"Mar-19","1.3","1.6","1.4"
"Jun-19","1.6","1.5","1.3"
"Sep-19","1.7","1.5","1.3"
"Dec-19","1.8","1.5","1.3"
"Mar-20","2.2","1.7","1.6"
"Jun-20","-0.3","1.2","1.2"
"Sep-20","0.7","1.1","1.2"
"Dec-20","0.9","1.2","1.4"
"Mar-21","1.1","1.1","1.3"
"Jun-21","3.8","1.6","1.5"
"Sep-21","3.0","2.1","2.1"
"Dec-21","3.5","2.6","2.4"
"Mar-22","5.1","3.7","3.0"
"Jun-22","6.1","4.9","4.2"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June 2022"
