"All groups CPI, quarterly change"
"Quarter","Change from previous quarter (%)"
"Jun-12","0.5"
"Sep-12","1.4"
"Dec-12","0.2"
"Mar-13","0.4"
"Jun-13","0.4"
"Sep-13","1.2"
"Dec-13","0.8"
"Mar-14","0.6"
"Jun-14","0.5"
"Sep-14","0.5"
"Dec-14","0.2"
"Mar-15","0.2"
"Jun-15","0.7"
"Sep-15","0.5"
"Dec-15","0.4"
"Mar-16","-0.2"
"Jun-16","0.4"
"Sep-16","0.7"
"Dec-16","0.5"
"Mar-17","0.5"
"Jun-17","0.2"
"Sep-17","0.6"
"Dec-17","0.6"
"Mar-18","0.4"
"Jun-18","0.4"
"Sep-18","0.4"
"Dec-18","0.5"
"Mar-19","0"
"Jun-19","0.6"
"Sep-19","0.5"
"Dec-19","0.7"
"Mar-20","0.3"
"Jun-20","-1.9"
"Sep-20","1.6"
"Dec-20","0.9"
"Mar-21","0.6"
"Jun-21","0.8"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June 2021"
