"Weighted average of eight capital cities",,"Sep Qtr 2019 toDec Qtr 2019","Dec Qtr 2018 toDec Qtr 2019"
,,"% change","% change"
"All groups CPI",,"0.7","1.8"
"Food and non-alcoholic beverages",,"1.3","2.6"
"Alcohol and tobacco",,"3.0","6.5"
"Clothing and footwear",,"-0.3","1.4"
"Housing",,"0.1","0.2"
"Furnishings, household equipment and services",,"-0.3","1.1"
"Health",,"-0.3","3.2"
"Transport",,"1.5","2.8"
"Communication",,"-1.0","-3.8"
"Recreation and culture",,"0.9","1.5"
"Education",,"0.1","2.9"
"Insurance and financial services",,"0.4","0.7"
"CPI analytical series",,,
,"All groups CPI, seasonally adjusted","0.6","1.8"
,"Trimmed mean","0.4","1.6"
,"Weighted median","0.4","1.3"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia December 2019"
