,,"Dec Qtr 2019 to Mar Qtr 2020","Mar Qtr 2019 to Mar Qtr 2020"
"Weighted average of eight capital cities",,"% change","% change"
"All groups CPI",,"0.3","2.2"
"Food and non-alcoholic beverages",,"1.9","3.2"
"Alcohol and tobacco",,"1.6","7.9"
"Clothing and footwear",,"-0.7","2.0"
"Housing",,"0.3","0.6"
"Furnishings, household equipment and services",,"0.8","2.2"
"Health",,"1.7","2.9"
"Transport",,"-1.9","2.6"
"Communication",,"-0.3","-3.4"
"Recreation and culture",,"-1.7","1.3"
"Education",,"2.6","2.7"
"Insurance and financial services",,"0.7","1.6"
"CPI analytical series",,,
,"All groups CPI, seasonally adjusted","0.4","2.2"
,"Trimmed mean","0.5","1.8"
,"Weighted median","0.5","1.7"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia March 2020"
