"Weighted average of eight capital cities","Mar Qtr 2020 to Jun Qtr 2020 % change","Jun Qtr 2019 to Jun Qtr 2020 % change"
"All groups CPI","-1.9","-0.3"
"Food and non-alcoholic beverages","0.5","4.1"
"Alcohol and tobacco","1.5","8.4"
"Clothing and footwear","0.1","0.5"
"Housing","-0.7","0.1"
"Furnishings, household equipment and services","-11.2","-9.8"
"Health","-0.2","0.9"
"Transport","-6.8","-7.5"
"Communication","-1.3","-3.6"
"Recreation and culture","-1.0","-0.3"
"Education","-3.7","-1.0"
"Insurance and financial services","0.3","1.7"
"CPI analytical series",,
"All groups CPI, seasonally adjusted","-2.0","-0.5"
"Trimmed mean","-0.1","1.2"
"Weighted median","0.1","1.3"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June 2020"
