,,"Jun Qtr 2020 to Sep Qtr 2020","Sep Qtr 2019 to Sep Qtr 2020"
"Weighted average of eight capital cities",,"% change","% change"
"All groups CPI",,"1.6","0.7"
"Food and non-alcoholic beverages",,"-0.4","3.4"
"Alcohol and tobacco",,"1.6","8.1"
"Clothing and footwear",,"0.4","-0.5"
"Housing",,"0.0","-0.2"
"Furnishings, household equipment and services",,"12.0","-0.1"
"Health",,"-0.1","1.0"
"Transport",,"3.4","-4.0"
"Communication",,"-0.8","-3.3"
"Recreation and culture",,"1.1","-0.7"
"Education",,"2.1","1.0"
"Insurance and financial services",,"0.1","1.6"
"CPI analytical series",,,
,"All groups CPI, seasonally adjusted","1.5","0.7"
,"Trimmed mean","0.4","1.2"
,"Weighted median","0.3","1.3"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia September 2020"
