"Contribution to quarterly change"
,"Contribution to quarterly change (pts)","All groups CPI - Contribution to quarterly change (pts)"
"All groups CPI","-","0.80"
"Food and non-alcoholic beverages","0.24","-"
"Alcohol and tobacco","0.27","-"
"Clothing and footwear","-0.01","-"
"Housing","0.02","-"
"Furnishings, household equipment and services","-0.03","-"
"Health","-0.02","-"
"Transport","0.18","-"
"Communication","-0.02","-"
"Recreation and culture","0.13","-"
"Education","0","-"
"Insurance services","0.03","-"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia December 2019"
