"Weighted average of eight capital cities"
,,"Dec Qtr 2020 to Mar Qtr 2021","Mar Qtr 2020 to Mar Qtr 2021"
,,"% change","% change"
"All groups CPI",,"0.6","1.1"
"Food and non-alcoholic beverages",,"0.4","0.7"
"Alcohol and tobacco",,"0.3","7.9"
"Clothing and footwear",,"0.5","0.0"
"Housing",,"0.1","-1.1"
"Furnishings, household equipment and services",,"-0.2","2.7"
"Health",,"2.0","3.0"
"Transport",,"3.2","0.4"
"Communication",,"0.5","-1.9"
"Recreation and culture",,"-0.2","1.5"
"Education",,"0.4","-0.1"
"Insurance and financial services",,"0.1","0.6"
"CPI analytical series",,,
,"All groups CPI, seasonally adjusted","0.5","1.0"
,"Trimmed mean","0.3","1.1"
,"Weighted median","0.4","1.3"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia March 2021"
