"Weighted average of eight capital cities"
,,"Mar Qtr 2023 to Jun Qtr 2023","Jun Qtr 2022 to Jun Qtr 2023"
,,"% change","% change"
"All groups CPI",,"0.8","6.0"
"Food and non-alcoholic beverages",,"1.6","7.5"
"Alcohol and tobacco",,"1.0","4.7"
"Clothing and footwear",,"0.6","0.3"
"Housing",,"0.8","8.1"
"Furnishings, household equipment and services",,"2.1","6.3"
"Health",,"-0.1","4.9"
"Transport",,"-0.1","1.9"
"Communication",,"-0.4","0.7"
"Recreation and culture",,"-0.2","6.8"
"Education",,"-0.2","5.2"
"Insurance and financial services",,"3.0","8.5"
"CPI analytical series",,,
,"All groups CPI, seasonally adjusted","0.9","6.1"
,"Trimmed mean","0.9","5.9"
,"Weighted median","1.0","5.5"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June Quarter 2023"
