"Weighted average of eight capital cities"
,,"Jun Qtr 2023 to Sep Qtr 2023","Sep Qtr 2022 to Sep Qtr 2023"
,,"% change","% change"
"All groups CPI",,"1.2","5.4"
"Food and non-alcoholic beverages",,"0.6","4.8"
"Alcohol and tobacco",,"1.4","4.9"
"Clothing and footwear",,"0.4","0.9"
"Housing",,"2.2","7.0"
"Furnishings, household equipment and services",,"-0.8","2.5"
"Health",,"0.8","5.4"
"Transport",,"3.2","5.6"
"Communication",,"2.1","1.3"
"Recreation and culture",,"0.2","5.6"
"Education",,"-0.4","4.8"
"Insurance and financial services",,"1.4","8.6"
"CPI analytical series",,,
,"All groups CPI, seasonally adjusted","1.0","5.3"
,"Trimmed mean","1.2","5.2"
,"Weighted median","1.3","5.2"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia September Quarter 2023"
