"Weighted average of eight capital cities"
,,"Mar Qtr 2021 to Jun Qtr 2021","Jun Qtr 2020 to Jun Qtr 2021"
,,"% change","% change"
"All groups CPI",,"0.8","3.8"
"Food and non-alcoholic beverages",,"0.5","0.7"
"Alcohol and tobacco",,"0.4","6.7"
"Clothing and footwear",,"0.4","0.3"
"Housing",,"0.3","-0.2"
"Furnishings, household equipment and services",,"1.1","16.9"
"Health",,"1.5","4.8"
"Transport",,"2.8","10.7"
"Communication",,"-0.6","-1.3"
"Recreation and culture",,"-0.1","2.5"
"Education",,"0.0","3.7"
"Insurance and financial services",,"0.3","0.6"
"CPI analytical series",,,
,"All groups CPI, seasonally adjusted","0.8","3.7"
,"Trimmed mean","0.5","1.6"
,"Weighted median","0.5","1.7"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June 2021"
