"Weighted average of eight capital cities"
,,"Jun Qtr 2021 to Sep Qtr 2021","Sep Qtr 2020 to Sep Qtr 2021"
,,"% change","% change"
"All groups CPI",,"0.8","3.0"
"Food and non-alcoholic beverages",,"0.3","1.3"
"Alcohol and tobacco",,"-0.5","4.4"
"Clothing and footwear",,"-3.8","-3.9"
"Housing",,"1.7","1.6"
"Furnishings, household equipment and services",,"1.6","6.0"
"Health",,"0.0","4.9"
"Transport",,"3.2","10.4"
"Communication",,"-0.5","-1.0"
"Recreation and culture",,"0.9","2.3"
"Education",,"0.1","1.7"
"Insurance and financial services",,"0.6","1.1"
"CPI analytical series",,,
,"All groups CPI, seasonally adjusted","0.8","3.0"
,"Trimmed mean","0.7","2.1"
,"Weighted median","0.7","2.1"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia September 2021"
