"Weighted average of eight capital cities"
,,"Sep Qtr 2021 to Dec Qtr 2021","Dec Qtr 2020 to Dec Qtr 2021"
,,"% change","% change"
"All groups CPI",,"1.3","3.5"
"Food and non-alcoholic beverages",,"0.7","1.9"
"Alcohol and tobacco",,"0.9","1.1"
"Clothing and footwear",,"2.6","-0.3"
"Housing",,"1.8","4.0"
"Furnishings, household equipment and services",,"1.1","3.6"
"Health",,"-0.3","3.3"
"Transport",,"2.8","12.5"
"Communication",,"0.1","-0.5"
"Recreation and culture",,"1.5","2.1"
"Education",,"0.1","0.6"
"Insurance and financial services",,"1.2","2.2"
"CPI analytical series",,,
,"All groups CPI, seasonally adjusted","1.3","3.7"
,"Trimmed mean","1.0","2.6"
,"Weighted median","0.9","2.7"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia December 2021"
