"Weighted average of eight capital cities"
,,"Dec Qtr 2021 to Mar Qtr 2022","Mar Qtr 2021 to Mar Qtr 2022"
,,"% change","% change"
"All groups CPI",,"2.1","5.1"
"Food and non-alcoholic beverages",,"2.8","4.3"
"Alcohol and tobacco",,"1.1","1.8"
"Clothing and footwear",,"-0.6","-1.5"
"Housing",,"2.7","6.7"
"Furnishings, household equipment and services",,"1.1","4.9"
"Health",,"2.3","3.5"
"Transport",,"4.2","13.7"
"Communication",,"0.3","-0.8"
"Recreation and culture",,"0.6","3.0"
"Education",,"4.5","4.7"
"Insurance and financial services",,"0.5","2.7"
"CPI analytical series",,,
,"All groups CPI, seasonally adjusted","2.0","5.2"
,"Trimmed mean","1.4","3.7"
,"Weighted median","1.0","3.2"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia March 2022"
