"Weighted average of eight capital cities"
,,"Jun Qtr 2022 to Sep Qtr 2022","Sep Qtr 2021 to Sep Qtr 2022"
,,"% change","% change"
"All groups CPI",,"1.8","7.3"
"Food and non-alcoholic beverages",,"3.2","9.0"
"Alcohol and tobacco",,"1.2","4.0"
"Clothing and footwear",,"-0.2","5.3"
"Housing",,"3.2","10.5"
"Furnishings, household equipment and services",,"2.8","7.7"
"Health",,"0.3","2.7"
"Transport",,"-0.4","9.2"
"Communication",,"1.4","2.0"
"Recreation and culture",,"1.3","5.0"
"Education",,"0.0","4.6"
"Insurance and financial services",,"1.3","4.2"
"CPI analytical series",,,
,"All groups CPI, seasonally adjusted","1.8","7.3"
,"Trimmed mean","1.8","6.1"
,"Weighted median","1.4","5.0"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia September Quarter 2022"
