"Weighted average of eight capital cities"
,,"Dec Qtr 2022 to Mar Qtr 2023","Mar Qtr 2022 to Mar Qtr 2023"
,,"% change","% change"
"All groups CPI",,"1.4","7.0"
"Food and non-alcoholic beverages",,"1.6","8.0"
"Alcohol and tobacco",,"1.1","4.4"
"Clothing and footwear",,"-2.6","3.2"
"Housing",,"1.9","9.8"
"Furnishings, household equipment and services",,"-0.5","6.7"
"Health",,"3.8","5.3"
"Transport",,"0.6","4.3"
"Communication",,"0.1","1.2"
"Recreation and culture",,"0.2","8.6"
"Education",,"5.3","5.4"
"Insurance and financial services",,"1.9","6.5"
"CPI analytical series",,,
,"All groups CPI, seasonally adjusted","1.3","7.1"
,"Trimmed mean","1.2","6.6"
,"Weighted median","1.2","5.8"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia March Quarter 2023"
