"Weighted average of eight capital cities, percentage change from previous quarter"
,"Percentage change from previous quarter (%)","All groups CPI - Percentage change from previous quarter (%)"
"All groups CPI","-","0.3"
"Food and non-alcoholic beverages","1.9","-"
"Alcohol and tobacco","1.6","-"
"Clothing and footwear","-0.7","-"
"Housing","0.3","-"
"Furnishings, household equipment and services","0.8","-"
"Health","1.7","-"
"Transport","-1.9","-"
"Communication","-0.3","-"
"Recreation and culture","-1.7","-"
"Education","2.6","-"
"Insurance and financial services","0.7","-"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia March 2020"
