"Weighted average of eight capital cities, percentage change from previous quarter"
"Groups","Percentage change from previous quarter (%)","All groups CPI Percentage change from previous quarter (%)"
"All groups CPI",,"-1.9"
"Food and non-alcoholic beverages","0.5",
"Alcohol and tobacco","1.5",
"Clothing and footwear","0.1",
"Housing","-0.7",
"Furnishings, household equipment and services","-11.2",
"Health","-0.2",
"Transport","-6.8",
"Communication","-1.3",
"Recreation and culture","-1.0",
"Education","-3.7",
"Insurance and financial services","0.3",

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June 2020"
