"Weighted average of eight capital cities, percentage change from previous quarter"
"Groups","Percentage change from previous quarter","All groups CPI Percentage change from previous quarter"
"All groups CPI",,"0.6"
"Food and non-alcoholic beverages","0.4",
"Alcohol and tobacco","0.3",
"Clothing and footwear","0.5",
"Housing","0.1",
"Furnishings, household equipment and services","-0.2",
"Health","2",
"Transport","3.2",
"Communication","0.5",
"Recreation and culture","-0.2",
"Education","0.4",
"Insurance and financial services","0.1",

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia March 2021"
