"Weighted average of eight capital cities, percentage change from previous quarter"
,"Percentage change from previous quarter (%)"
"All groups CPI","0.5"
"Food and non-alcoholic beverages","0.4"
"Alcohol and tobacco","2.0"
"Clothing and footwear","1.5"
"Housing","0.3"
"Furnishings, household equipment and serv","1.1"
"Health","-0.2"
"Transport","-0.3"
"Communication","-1.1"
"Recreation and culture","1.5"
"Education","0.1"
"Insurance & financial serv","0.2"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia September 2019"
