"Weighted average of eight capital cities, quarterly movement (%)"
,"Change from previous quarter (%)","All groups CPI - Change from previous quarter (%)"
"All groups CPI",,"1.8"
"Food and non-alcoholic beverages","2.0",
"Alcohol and tobacco","0.8",
"Clothing and footwear","3.5",
"Housing","2.5",
"Furnishings, household equipment and services","2.5",
"Health","0.4",
"Transport","2.3",
"Communication","0.1",
"Recreation and culture","1.4",
"Education","0.0",
"Insurance and financial services","1.1",

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June 2022"
