"Weighted average of eight capital cities, quarterly movement (%)"
"Groups","Change from previous quarter (%)","All groups CPI - Change from previous quarter (%)"
"All groups CPI",,"1.4"
"Food and non-alcoholic beverages","1.6",
"Alcohol and tobacco","1.1",
"Clothing and footwear","-2.6",
"Housing","1.9",
"Furnishings, household equipment and services","-0.5",
"Health","3.8",
"Transport","0.6",
"Communication","0.1",
"Recreation and culture","0.2",
"Education","5.3",
"Insurance and financial services","1.9",

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia March Quarter 2023"
