"Weighted average of eight capital cities, quarterly movement (%)"
"Groups","Percentage change from previous quarter (%)","All groups CPI Percentage change from previous quarter (%)"
"All groups CPI",,"1.2"
"Food and non-alcoholic beverages","0.6",
"Alcohol and tobacco","1.4",
"Clothing and footwear","0.4",
"Housing","2.2",
"Furnishings, household equipment and services","-0.8",
"Health","0.8",
"Transport","3.2",
"Communication","2.1",
"Recreation and culture","0.2",
"Education","-0.4",
"Insurance and financial services","1.4",

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia September Quarter 2023"
