"Weighted average of eight capital cities"
,,"Sep Qtr 2020 to Dec Qtr 2020","Dec Qtr 2019 to Dec Qtr 2020"
,,"% change","% change"
"All groups CPI",,"0.9","0.9"
"Food and non-alcoholic beverages",,"0.2","2.3"
"Alcohol and tobacco",,"4.2","9.3"
"Clothing and footwear",,"-1.0","-1.3"
"Housing",,"-0.6","-0.9"
"Furnishings, household equipment and services",,"3.4","3.6"
"Health",,"1.3","2.6"
"Transport",,"0.9","-4.6"
"Communication",,"-0.4","-2.7"
"Recreation and culture",,"1.6","0.0"
"Education",,"1.2","2.1"
"Insurance and financial services",,"0.1","1.2"
"CPI analytical series",,,
,"All groups CPI, seasonally adjusted","0.8","0.9"
,"Trimmed mean","0.4","1.2"
,"Weighted median","0.5","1.4"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia December 2020"
